,一级标签,二级标签,药材名,出处,简介,药性,功效,治法,应用,合成,用法用量,使用注意,现代研究,附药
234,止血药,化瘀止血药,花蕊石,《嘉祐本草》）,本品为变质岩类岩石蛇纹大理岩。主产于陕西、河南、河北、江苏。采挖后，除去杂石和泥沙，洗净，干燥。本品气微，味淡。以质坚硬、色白带“彩晕”者为佳。砸成碎块用，或煅用。,酸、涩，平。归肝经。,化瘀止血。,化瘀止血,1.咳血，吐血，外伤出血本品味酸涩性平，既能收敛止血，又能化瘀行血，适用于吐血、咳血、外伤出血等兼有瘀滞的各种出血之证。治瘀滞吐血，《十药神书》单用本品煅为细末，用酒或醋和服；治咳血，可与白及、血余炭等合用；治外伤出血，《和剂局方》单味研末外敷伤口。2.跌扑伤痛本品化瘀行血，用治跌打损伤，瘀血肿痛，可与三七、血竭、刘寄奴等药同用。,,4.5～9g，多研末吞服。外用适量，研末外掺或调敷。,孕妇慎用。,本品有止血作用。其水煎剂可缩短小鼠凝血时间和出血时间，减少出血量，炮制后止血作用略有增强。,
235,止血药,收敛止血药,白及,《神农本草经》）,本品为兰科植物白及的干燥块茎。主产于贵州、四川、湖南、湖北。夏、秋二季采挖，除去须根，洗净，置沸水中煮或蒸至无白心，晒至半干，除去外皮，晒干。切薄片。本品气微，味苦，嚼之有黏性。以切面色白、角质样者为佳。生用。,苦、甘、涩，微寒。归肺、胃、肝经。,收敛止血，消肿生肌。,消肿生肌,1.咳血，吐血，外伤出血本品味涩质黏，为收敛止血之要药，可用治体内外诸出血证。治诸内出血证，《吉人集验方》单味研末，糯米汤调服。因其主入肺、胃经，故尤多用于肺胃出血之证。用治咳血，可配伍藕节、枇杷叶等药；用治吐血，可与茜草、生地、牛膝等煎服；用治外伤或金创出血，可单味研末外掺或水调外敷，或与白蔹、黄芩、龙骨等研细末，掺疮口上。2.疮疡肿毒，皮肤皲裂，烧烫伤本品寒凉苦泄，能泄血中壅滞；味涩质黏，能敛疮生肌，为外疡消肿生肌的常用药。对于疮疡，无论未溃或已溃均可应用。若疮疡初起，可单用本品研末外敷，或与银花、皂刺、乳香等同用，如内消散（《外科正宗》）；若疮痈已溃，久不收口者，以之与黄连、浙贝母、轻粉等为末外敷，如生肌干脓散（《证治准绳》）。治手足皲裂，可以之研末，麻油调涂，能促进裂口愈合；治烧烫伤，可以本品研末，用油调敷，或以白及粉、凡士林调膏外用，能促进生肌结痂。,"内消散,生肌干脓散",煎服，6～15g；研末吞服3～6g。外用适量。,不宜与川乌、制川乌、草乌、制草乌、附子同用。,本品有止血、促进伤口愈合、抗胃溃疡等作用。白及煎剂可明显缩短出血和凝血时间，其止血的作用与所含胶质有关。白及粉对胃黏膜损伤有明显保护作用，对实验性犬胃及十二指肠穿孔有明显治疗作用，可迅速堵塞穿孔，阻止胃及十二指肠内容物外漏并加大网膜的遮盖；对实验性烫伤、烧伤动物模型能促进肉芽生长，促进疮面愈合。另外还有抗肿瘤、抗菌作用。,
236,止血药,收敛止血药,仙鹤草,《图经本草》）,本品为蔷薇科植物龙芽草的干燥地上部分。主产于浙江、江苏、湖北。夏、秋二季茎叶茂盛时采割，除去杂质，晒干。切段。本品气微，味微苦。以茎红棕色、质嫩、叶多者为佳。生用。,苦、涩，平。归心、肝经。,收敛止血，截疟，止痢，解毒，补虚。,,1.咳血，吐血，尿血，便血，崩漏下血本品味涩收敛，功能收敛止血，广泛用于全身各部位的出血证。因其药性平和，大凡出血而无瘀滞者，无论寒热虚实，皆可应用。如治血热妄行之出血证，可与生地、侧柏叶、牡丹皮等药同用；若用于虚寒性出血证，可与党参、炮姜、艾叶等药同用。2.疟疾寒热本品有截疟之功，治疗疟疾寒热，可单以本品研末，于疟发前2小时吞服，或水煎服。3.血痢，久泻久痢本品味涩收敛，能涩肠止泻痢。因其药性平和，兼能补虚，又能止血，故对于血痢及久病泻痢尤为适宜。如《岭南采药录》单用本品水煎服，治疗赤白痢，也可配伍其他药物。4.痈肿疮毒本品能解毒消肿，可用治痈肿疮毒，单用或配伍其他清热解毒药。5.阴痒带下本品能解毒杀虫止痒，可用治阴痒带下，常与苦参、白鲜皮、黄柏等煎汤外洗。6.脱力劳伤本品有补虚强壮的作用，可用治劳力过度所致的脱力劳伤，症见神疲乏力、面色萎黄而纳食正常者，常与大枣同煮，食枣饮汁。若气血亏虚，神疲乏力、头晕目眩者，可与党参、熟地、龙眼肉等同用。,,煎服，6～12g。外用适量。,,本品具有抗炎、抗肿瘤、镇痛等作用。仙鹤草乙醇提取物灌胃，可以抑制二甲苯致小鼠耳肿胀。仙鹤草水煎液对荷瘤小鼠IL-2活性有增强作用，降低S180移植肿瘤重量。另外本品还有降糖、降压等作用。,
237,止血药,收敛止血药,紫珠叶,《本草拾遗》）,本品为马鞭草科植物杜虹花的干燥叶。主产于广东、广西。夏、秋二季枝叶茂盛时采摘，干燥，切段。本品气微，味微苦涩。以叶片完整、质嫩者为佳。生用。,苦、涩，凉。归肝、肺、胃经。,凉血收敛止血，散瘀解毒消肿。,,1.衄血，咳血，吐血，便血，崩漏，外伤出血本品味苦涩而性凉，既能收敛止血，又能凉血止血，适用于各种内外伤出血，尤多用于肺胃出血。可单独应用，也可与其他止血药同用。如治咳血、衄血、吐血，可与大蓟、白及等同用；治尿血、血淋，可与小蓟、白茅根等同用；治便血、痔血，可与地榆、槐花等同用；治外伤出血，可单用捣敷或研末敷掺，或以纱布浸紫珠液覆盖压迫局部。2.热毒疮疡，水火烫伤本品苦涩性凉，有清热解毒敛疮之功。治热毒疮疡，可单用鲜品捣敷，并煮汁内服，也可配伍其他清热解毒药物。治烧烫伤，用本品研末撒布患处，或用本品煎煮滤取药液，浸湿纱布外敷。,,煎服，3～15g；研末吞服1.5～3g。外用适量，敷于患处。,,本品有止血、促进组织愈合、抗菌等作用。紫珠叶水煎剂灌胃给药，可缩短小鼠凝血时间、出血时间，增高血小板数。对金黄色葡萄球菌、白色念珠菌、痢疾杆菌、伤寒杆菌等均有抑制作用。,附药：大叶紫珠本品为马鞭草科植物大叶紫珠CallicarpamacrophyllaVahl的干燥叶或带叶嫩枝。性味辛、苦，平；归肝、肺、胃经。功能散瘀止血，消肿止痛。适用于衄血，咳血，吐血，便血，外伤出血，跌扑肿痛。煎服，15～30g。外用适量，研末敷于患处。
238,止血药,收敛止血药,棕榈炭,《本草拾遗》）,本品为棕榈科植物棕榈的干燥叶柄。主产于湖南、四川、江苏、浙江。采棕时割取旧叶柄下延部分和鞘片，除去纤维状的棕毛，晒干。煅炭用。本品略具焦香气，味苦涩。以表面黑褐色至黑色，有光泽，触之有黑色炭粉者为佳。,苦、涩，平。归肝、肺、大肠经。,收敛止血。,,吐血，衄血，尿血，便血，崩漏本品药性平和，味苦而涩，为收敛止血之良药，广泛用于各种出血病证，尤多用于崩漏。因其收敛性强，故以治出血而无瘀滞者为宜。可单味应用，也常与血余炭、仙鹤草、侧柏叶等同用。若属血热妄行之吐血、咳血，可与小蓟、栀子等同用，如十灰散（《十药神书》）；若虚寒性崩漏下血，常与艾叶、炮姜等同用。此外，本品苦涩收敛，也能止泻止带，尚可用于久泻久痢，妇人带下。,十灰散,煎服，3～9g。,出血兼有瘀滞者不宜使用。,本品有止血作用。陈棕皮炭、陈棕炭及陈棕的水煎剂、陈棕炭混悬剂灌胃给药，均能缩短小鼠出血、凝血时间。,
239,止血药,收敛止血药,血余炭,《神农本草经》）,本品为人发制成的炭化物。全国大部分地区均产。取头发，除去杂质，碱水洗去油垢，清水漂净，晒干，焖煅成炭，放凉。本品有焦发气，味苦。以体轻、色黑、光亮者为佳。,苦，平。归肝、胃经。,收敛止血，化瘀，利尿。,,1.吐血，咳血，衄血，血淋，尿血，便血，崩漏，外伤出血发乃血之余，善入血分，并以炭入药，故有收敛止血之功，且能化瘀，有止血而不留瘀的特点，可用于各种出血之证，无论寒热虚实皆可。可单用本品，温水调服；亦可外用，掺敷出血部位，如治鼻衄，可直接吹入鼻中。治咳血、吐血，常与花蕊石、三七等同用，如化血丹（《医学衷中参西录》）。治血淋，常以之配伍蒲黄、生地、甘草；若治便血，可与地榆、槐花等同用；用治崩漏，可单用本品，或与艾叶、藕节等同用。2.小便不利本品苦降下行，能化瘀利窍，通利水道，故可用治小便不利，常与滑石、白鱼同用，如滑石白鱼散（《金匮要略》）。,"化血丹,滑石白鱼散",煎服，5～10g。外用适量。,,本品能明显缩短出、凝血时间及血浆复钙时间，血余炭煎剂对金黄色葡萄球菌、伤寒杆菌、甲型副伤寒杆菌及福氏痢疾杆菌有较强的抑制作用。,
240,止血药,收敛止血药,藕节,《药性本草》）,本品为睡莲科植物莲的干燥根茎节部。主产于浙江、安徽、江苏。秋、冬二季采挖根茎藕，切取节部，洗净，晒干，除去须根。本品气微，味微甘、涩。以表面色灰黄、断面色白者为佳。生用或炒炭用。,甘、涩，平。归肝、肺、胃经。,收敛止血，化瘀。,,吐血，咳血，衄血，尿血，崩漏本品味涩质黏而性收敛，既能收敛止血，又兼能化瘀，有止血而不留瘀的特点，适用于各种出血病证，尤善治咳血、衄血、吐血等上部出血。如《药性论》治吐血、衄血不止，以鲜藕捣汁饮。本品药力较弱，常入复方中使用。治血淋、尿血，常与小蓟、通草、滑石等同用，如小蓟饮子（《济生方》）。,小蓟饮子,煎服，9～15g。,,本品能缩短凝血时间。,
241,止血药,温经止血药,艾叶,《名医别录》）,本品为菊科植物艾é的干燥叶。主产于山东、安徽、湖北、河北，传统以湖北蕲州产者为佳，称“蕲艾”。夏季花未开时采摘，除去杂质，晒干。本品气清香，味苦。以叶片大，叶背灰白色、绒毛多、香气浓者为佳。生用或炒炭用。,辛、苦，温；有小毒。归肝、脾、肾经。,温经止血，散寒止痛，调经，安胎；外用祛湿止痒。,散寒止痛,1.虚寒性吐血，衄血，崩漏，月经过多本品气香味辛，温可散寒，能暖气血而温经脉，为温经止血之要药，适用于虚寒性出血病证，尤宜于崩漏。治疗下元虚冷，冲任不固所致的崩漏下血，可单用本品，水煎服，或与阿胶、芍药、干地黄等同用，如胶艾汤（《金匮要略》）。若配伍生地黄、生荷叶、生柏叶等清热凉血止血药，用治血热妄行之出血证，艾叶既可加强止血，又可防大队寒凉药物而致凉遏留瘀之弊，如四生丸（《妇人良方》）。2.少腹冷痛，经寒不调，宫冷不孕，脘腹冷痛本品专入三阴经而直走下焦，能温经脉，暖宫散寒止痛，尤善调经，为治妇科下焦虚寒或寒客胞宫之要药。常用于下焦虚寒，月经不调，经行腹痛，宫冷不孕，带下清稀等证，每与香附、吴茱萸、当归等同用，如艾附暖宫丸（《直指方》）。用治脾胃虚寒所致的脘腹冷痛，可以单味艾叶煎服，或以之炒热熨敷脐腹，或配伍温中散寒之品。3.胎动不安，胎漏下血本品为妇科安胎之要药。如《肘后方》以艾叶，酒煎服，治疗妊娠卒胎动不安。临床每多与阿胶、桑寄生等同用，治胎动不安，胎漏下血。4.皮肤瘙痒本品辛香苦燥，局部煎汤外洗有祛湿止痒之功，可用治湿疹、阴痒、疥癣等皮肤瘙痒。此外，将本品捣绒，制成艾条、艾炷等，用以熏灸体表穴位，能温煦气血，透达经络，为温灸的主要原料。,"胶艾汤,四生丸,艾附暖宫丸",煎服，3～9g。外用适量，供灸治或熏洗用。醋艾炭温经止血，用于虚寒性出血；其余生用。,,本品具有止血、镇痛、抗炎等作用。生艾叶水提物灌胃能缩短小鼠出血和凝血时间，增加小鼠血小板数。醋艾叶炭水提物灌胃能对醋酸所致小鼠扭体疼痛反应有抑制作用，并能提高小鼠热板痛阈值。另外，还具有抗过敏、镇咳、平喘等作用。3.不良反应艾叶挥发油对皮肤有轻度刺激作用，可引起发热、潮红等。其挥发油对中枢神经系统有兴奋、致惊厥作用。口服过量对胃肠道有刺激。中毒后先出现咽喉部干燥、胃肠不适、疼痛、恶心、呕吐等刺激症状，续而全身无力、头晕、耳鸣、四肢震颤，随后局部乃至全身痉挛、肌肉弛缓，多次发作后异致谵妄、惊厥、瘫痪。数日后出现肝大、黄疸、胆红素尿、尿胆原增多等现象。慢性中毒表现为感觉过敏、共济失调、神经炎、癫痫样惊厥等。孕妇可发生子宫出血及流产。,
242,止血药,温经止血药,炮姜,《珍珠囊》）,本品为姜科植物姜的干燥根茎的炮制加工品。取干姜砂烫至鼓起，表面棕褐色。全国大部分地区均可加工炮制。本品气香、特异，味微辛辣。以表面鼓起、棕褐色、内部色棕黄、质疏松者为佳。,辛，热。归脾、胃、肾经。,温经止血，温中止痛。,,1.阳虚失血，吐衄崩漏本品性温，主入脾经，能温经止血，主治脾胃虚寒，脾不统血之出血病证。可单味应用，如《姚氏集验方》以本品为末，米饮下，治血痢不止。治疗虚寒性吐血、便血，常与人参、黄芪、附子等同用。若治冲任虚寒，崩漏下血，可与艾叶、乌梅、棕榈炭等同用。2.脾胃虚寒，腹痛吐泻本品辛热，善暖脾胃，能温中止痛止泻，为治虚寒性腹痛、腹泻之佳品。如《千金方》以本品研末饮服，治中寒水泻；《世医得效方》以之与厚朴、附子同用，治脾虚冷泻不止。若治寒凝脘腹冷痛，常配高良姜，如二姜丸（《和剂局方》）；治产后血虚寒凝，小腹疼痛者，可与当归、川芎、桃仁等同用，如生化汤（《傅青主女科》）。,"二姜丸,生化汤",煎服，3～9g。,,能显著缩短出血和凝血时间，对应激性及幽门结扎型胃溃疡、醋酸诱发的胃溃疡均有抑制作用。,
243,止血药,温经止血药,灶心土,《名医别录》）,本品为烧木柴或杂草的土灶内底部中心的焦黄土块。全国农村均有。在拆修柴火灶或烧柴火的窑时，将烧结的土块取下，用刀削去焦黑部分及杂质即可。又名伏龙肝。本品具烟熏气，味淡。以块大整齐、色红褐，断面具蜂窝状小孔，质细软者为佳。,辛，温。归脾、胃经。,温中止血，止呕，止泻。,温中止血,1.虚寒性出血本品性温，专入中焦，温暖脾阳而止血，为温经止血之要药。凡脾气虚寒，不能统血之出血病证，皆可应用，尤善治吐血、便血。如《广利方》治吐血、衄血，单以本品用水淘汁，和蜜服；治疗中焦虚寒之便血、吐血、衄血、崩漏，可与附子、白术、地黄等同用，如黄土汤（《金匮要略》）。2.胃寒呕吐本品质重而温，长于温中和胃、降逆止呕。主治脾胃虚寒，胃气不降之呕吐。可与干姜、半夏、白术等同用。也可用治反胃、妊娠呕吐。如《百一选方》治反胃呕吐，用本品研细，米饮送服；《本草蒙筌》治妊娠呕吐，以本品捣细，调水服。3.脾虚久泻本品既能温脾暖胃，又能涩肠止泻，主治脾虚久泻，常配伍附子、干姜、白术等。若治胎前下痢，产后不止者，《张氏医通》以山楂、黑糖为丸，用本品煎汤代水送服。,黄土汤,煎服，15～30g，布包先煎；或60～120g，煎汤代水。,,本品有缩短凝血时间，抑制纤溶酶及增加血小板第三因子活性等作用。水煎剂能减轻洋地黄酊引起的呕吐，有止呕作用。,
244,活血化瘀药,活血止痛药,川芎,《神农本草经》）,本品为伞形科植物川芎的干燥根茎。主产于四川。夏季当茎上的节盘显著突出，并略带紫色时采挖，除去泥沙，晒后烘干，再去须根。本品气浓香，味苦、辛，稍有麻舌感，微回甜。以切面色黄白、香气浓、油性大者为佳。切片，生用。,辛，温。归肝、胆、心包经。,活血行气，祛风止痛。,祛风止痛,1.血瘀气滞，胸痹心痛，胸胁刺痛，跌扑肿痛，月经不调，经闭痛经，癥瘕腹痛本品辛香行散，温通血脉，既能活血祛瘀，又能行气通滞，为“血中气药”（《本草汇言》），功善止痛，为治气滞血瘀诸痛证之要药。治肝郁气滞，胁肋作痛，常配伍柴胡、香附等，如柴胡疏肝散（《景岳全书》）；治心脉瘀阻，胸痹心痛，常配伍丹参、红花、降香等；治肝血瘀阻，积聚痞块，胸胁刺痛，常配伍桃仁、红花等，如血府逐瘀汤（《医林改错》）；治跌仆损伤，瘀肿疼痛，常配伍乳香、没药、三七等。本品性善行窜，《本草汇言》称其能“下调经水，中开郁结”，善通达气血，为妇科活血调经要药。治瘀滞痛经闭经，月经不调，常配伍赤芍、当归、延胡索等，如少腹逐瘀汤（《医林改错》）；治寒凝血瘀之经行腹痛，闭经，常配伍当归、吴茱萸、桂心等，如温经汤（《金匮要略》）；治产后瘀阻腹痛，恶露不行，常配伍当归、桃仁等，如生化汤（《傅青主女科》）。2.头痛本品秉性升散，《本草汇言》谓其能“上行头目”，既能活血行气止痛，又长于祛风止痛，为治头痛之要药。治外感风寒头痛，常配伍白芷、细辛、羌活等，如川芎茶调散（《和剂局方》）；治风热头痛，常配伍升麻、本、黄芩等，如川芎散（《兰室秘藏》）；治风湿头痛，常配伍羌活、藁本、防风等，如羌活胜湿汤（《内外伤辨惑论》）；治血瘀头痛，常配伍赤芍、红花、麝香等，如通窍活血汤（《医林改错》）。3.风湿痹痛本品辛散温通，能“旁通络脉”，具有祛风通络止痛之功，治风湿痹阻、肢节疼痛，常配伍羌活、当归、姜黄等，如蠲痹汤（《医学心悟》）。,"柴胡疏肝散,血府逐瘀汤,少腹逐瘀汤,温经汤,生化汤,川芎茶调散,川芎散,羌活胜湿汤,通窍活血汤,蠲痹汤",煎服，3～10g。,本品辛温升散，凡阴虚阳亢之头痛，阴虚火旺、舌红口干，多汗，月经过多及出血性疾病，不宜使用。孕妇慎用。,川芎嗪能扩张冠状动脉，增加冠脉血流量；扩张脑血管，降低血管阻力，显著增加脑及肢体血流量，改善微循环；能降低血小板表面活性，抑制血小板凝集，预防血栓的形成。川芎总生物碱、川芎嗪能降低麻醉犬的外周血管阻力，有显著而持久的降压作用；能显著增加肾血流，延缓慢性肾损害；扩张支气管平滑肌。阿魏酸大剂量能抑制子宫平滑肌。挥发油、水煎剂有镇静作用。川芎哚有镇痛效应。,
245,活血化瘀药,活血止痛药,延胡索,《雷公炮炙论》）,本品为罂粟科多年生植物延胡索的干燥块茎。本品2015年版《中华人民共和国药典·一部》又名元胡。主产于浙江。夏初茎叶枯萎时采挖，除去须根，洗净，置沸水中煮至恰无白心时，取出，晒干。本品气微，味苦。以断面金黄色、有蜡样光泽者为佳。切厚片或捣碎，生用或醋炙用。,辛、苦，温。归肝、脾、心经。,活血，行气，止痛。,,气血瘀滞，胸胁、脘腹疼痛，胸痹心痛，经闭痛经，产后瘀阻，跌扑肿痛本品辛散温通，既能活血，又能行气，且止痛作用显著，为活血行气止痛要药。李时珍谓其“能行血中气滞，气中血滞，故专治一身上下诸痛”，临床可广泛用于血瘀气滞所致身体各部位的疼痛。治寒滞胃痛，常配伍配桂枝、高良姜等，如安中散（《和剂局方》）；治肝郁气滞血瘀所致胸胁脘腹疼痛者，常配伍川楝子，如金铃子散（《素问病机气宜保命集》）；治心血瘀阻之胸痹心痛，常与丹参、桂枝、薤白、瓜蒌等药同用；治经闭癥瘕，产后瘀阻，常配伍当归、蒲黄、赤芍等，如延胡索散（《济阴纲目》）；治寒疝腹痛，睾丸肿胀，常配伍橘核、川楝子、海藻等，如橘核丸（《济生方》）；治风湿痹痛，常配伍秦艽、桂枝等药；治跌打损伤，瘀血肿痛，可单用本品为末，以酒调服。,"安中散,金铃子散,延胡索散,橘核丸",煎服，3～10g；研末服，每次1.5～3g。醋制可加强止痛之功。,,延胡索甲素、乙素和丑素有镇痛、催眠、镇静与安定作用。延胡索醇提物能扩张冠脉、降低冠脉阻力、增加冠脉血流量，提高耐缺氧能力。延胡索总碱能对抗心律失常。去氢延胡索甲素能保护心肌细胞、抗心肌缺血。延胡索乙素能扩张外周血管，降低血压，对脑缺血-再灌注损伤有保护作用。延胡索全碱及醇提物有抗溃疡，乙素能抑制胃液分泌。此外，延胡索还有一定的抗菌、抗炎、抗肿瘤作用和提高抗应激能力。,
246,活血化瘀药,活血止痛药,"""金",《药性论》,本品为姜科植物温郁金、姜黄、广西莪术或蓬莪术的干燥块根。前两者分别习称“温郁金”和“黄丝郁金”，其余按性状不同习称“桂郁金”或“绿丝郁金”。主产于四川、浙江、广西、云南。冬季茎叶枯萎后采挖，除去泥沙和细根，蒸或煮至透心，干燥。温郁金气微香，味微苦；黄丝郁金气芳香，味辛辣；桂郁金气微，味微辛苦；绿丝郁金气微，味淡。以切面角质样者为佳。切薄片，生用。,辛、苦，寒；归肝、胆、心、肺经。,活血止痛，行气解郁，清心凉血，利胆退黄。,"活血止痛,清心凉血",1.气滞血瘀，胸胁刺痛，胸痹心痛，月经不调，经闭痛经，乳房胀痛本品辛散苦泄，既能活血祛瘀以止痛，又能疏肝行气以解郁，善治气滞血瘀之证。治气血郁滞之胸痹疼痛，胁肋胀痛，常配伍木香，如颠倒木金散（《医宗金鉴》）；治肝郁化热，经前腹痛，常配伍柴胡、香附、当归等，如宣郁通经汤（《傅青主女科》）；治癥瘕痞块，常配伍干漆、硝石等。2.热病神昏，癫痫发狂本品辛散苦泄性寒，归心肝经，能清心解郁开窍。治湿温病浊邪蒙蔽清窍，胸脘痞闷，神志不清，常配伍石菖蒲、竹沥、栀子等，如菖蒲郁金汤（《温病全书》）；治痰浊蒙蔽心窍之癫痫发狂，常配伍白矾，如白金丸（《医方考》）。3.血热吐衄，妇女倒经本品性寒苦泄，辛散解郁，能清降火热，解郁顺气，凉血止血，善治肝郁化热、迫血妄行之吐血衄血，妇女倒经，常配伍生地黄、丹皮、栀子等，如生地黄汤（《医学心悟》）；亦可用于热结下焦，伤及血络之尿血、血淋，常配伍槐花，如郁金散（《杂病源流犀烛》）。4.肝胆湿热，黄疸尿赤，胆胀胁痛本品苦寒清泄，入肝胆经，能疏肝利胆，清利湿热，可用于治疗肝胆病。治湿热黄疸，常配伍茵陈、栀子等药；治肝胆结石，胆胀胁痛，常配伍金钱草、大黄、虎杖等药。,"颠倒木金散,宣郁通经汤,菖蒲郁金汤,白金丸,生地黄汤,郁金散",煎服，3～10g。,不宜与丁香、母丁香同用。,姜黄素和挥发油能促进胆汁分泌和排泄，温郁金挥发油有保肝作用。郁金煎剂能刺激胃酸及十二指肠液分泌，能降低全血黏度，抑制血小板聚集。郁金提取物能抗心律失常。郁金水煎剂、挥发油对多种皮肤真菌有抑制作用，对多种细菌有抑制作用。郁金也有一定的抗炎止痛作用。温郁金水煎剂及水煎醇沉物有抗早孕作用。,
247,活血化瘀药,活血止痛药,姜黄,《新修本草》）,本品为姜科植物姜黄的干燥根茎。主产于四川。冬季茎叶枯萎时采挖，洗净，煮或蒸至透心，晒干，除去须根。切厚片。本品气香特异，味苦、辛。以切面色金黄、有蜡样光泽者为佳。生用。,辛、苦，温。归肝、脾经。,活血行气，通经止痛。,通经止痛,1.气滞血瘀，胸胁刺痛，胸痹心痛，痛经经闭，癥瘕，跌扑肿痛本品辛行苦泄，温散通滞，既入血分，又入气分，长于止痛，善治气滞血瘀诸痛证。治心血瘀滞之心胸刺痛，常配伍当归、木香、乌药等，如姜黄散（《圣济总录》）；治肝胃寒凝气滞之胸胁疼痛，常配伍枳壳、桂心、炙甘草，如推气散（《重订严氏济生方》）；治气滞血瘀之痛经经闭，产后腹痛，常配伍当归、川芎、红花等药，如姜黄散《妇人良方》；治跌打损伤，瘀肿疼痛，常配伍苏木、乳香、没药等药，如姜黄汤（《伤科方书》）。2.风湿肩臂疼痛本品辛散苦燥，温通经脉，能祛除关节经络之风寒湿邪，通行气血而通络止痛，尤长于行肢臂而除痹痛，常配伍羌活、防风、当归等，如蠲痹汤（《杨氏家藏方》）。,"姜黄散,推气散,姜黄汤,蠲痹汤",煎服，3～10g，外用适量。,孕妇慎用。,姜黄素能抑制血小板聚集，降低血浆黏度和全血黏度；能抗炎、抗氧化、降血脂、降压；保护胃黏膜，保护肝细胞，并有神经保护作用。姜黄提取物、姜黄素、挥发油等都能利胆。此外，姜黄粉及提取物物有抗早孕、抗肿瘤作用。,附药：片姜黄本品为姜科植物温郁金CurcumawenyujinY.H.ChenetC.Ling的干燥根茎。性味辛、苦，温；归脾、肝经。功能活血行气，通经止痛。适用于胸胁刺痛，胸痹心痛，痛经经闭，癥瘕，风湿肩臂疼痛，跌扑肿痛。煎服3～9g。孕妇慎用。
248,活血化瘀药,活血止痛药,乳香,《名医别录》,本品为橄榄科植物乳香树及同属植物树皮渗出的树脂。分为索马里乳香和埃塞俄比亚乳香，每种乳香又分为乳香珠和原乳香。主产于埃塞俄比亚、索马里。春夏季采收。将树干的皮部由下向上顺序切伤，使树脂渗出，数天后凝成固体，即可采收。本品具特异香气，味微苦。以淡黄白色、断面半透明、香气浓者为佳。打碎，醋炙用。,辛、苦，温。归心、肝、脾经。,活血定痛，消肿生肌。,消肿生肌,1.跌打损伤，痈肿疮疡本品辛香走窜，苦泄温通，入心、肝经，既能行气通滞，散瘀止痛，又能活血消痈，祛腐生肌，为外伤科要药。治跌打损伤，常配伍没药、血竭、红花等，如七厘散（《良方集腋》）；治疮疡肿毒初起，局部皮肤红肿热痛，常配伍没药、金银花、穿山甲等，如仙方活命饮（《校注妇人良方》）；治痈疽、瘰疬、痰核，肿块坚硬不消，常配伍没药、麝香、雄黄等，如醒消丸（《外科全生集》）；治疮疡溃破，久不收口，常配伍没药研末外用。2.气滞血瘀，胸痹心痛，胃脘疼痛，痛经经闭，产后瘀阻，癥瘕腹痛，风湿痹痛，筋脉拘挛本品辛散通泄，既入血分，又入气分，能行血中气滞，宣通脏腑气血，透达经络，长于止痛，可用于血瘀气滞之诸痛证，《珍珠囊》谓其能“定诸经之痛”。治胃脘疼痛，常配伍没药、延胡索、香附等，如手拈散（《医学心悟》）；治胸痹心痛，常配伍丹参、川芎等；治痛经经闭，产后瘀阻腹痛，常配伍当归、丹参、没药等，如活络效灵丹（《医学衷中参西录》）；治风寒湿痹，肢体麻木疼痛，常配伍羌活、川芎、秦艽等，如蠲痹汤（《医学心悟》）。,"七厘散,仙方活命饮,醒消丸,手拈散,活络效灵丹,蠲痹汤",煎汤或入丸、散，3～5g，宜炮制去油。外用适量，研末调敷。,孕妇及胃弱者慎用。,乳香挥发油及醇提物有显著的镇痛作用；乳香提取物有较强的抗炎消肿作用；乳香具有广谱抗菌作用；乳香树脂有一定的抗氧化活性；乳香提取物能抗胃溃疡；醋制乳香能降低血小板黏附性；乳香可抑制肿瘤细胞的扩散和恶化而具抗肿瘤作用。,
249,活血化瘀药,活血止痛药,没药,《开宝本草》）,本品为橄榄科植物地丁树或哈地丁树的干燥树脂。分为天然没药和胶质没药。主产于索马里、埃塞俄比亚。11月至次年2月，采集由树皮裂缝处渗出于空气中变成红棕色坚块的油胶树脂，拣去杂质。本品有特异香气，天然没药味苦而微辛，胶质没药味苦而有黏性。以黄棕色、断面微透明、显油润、香气浓、味苦者为佳。打碎，醋炙用。,辛、苦，平。归心、肝、脾经。,散瘀定痛，消肿生肌。,消肿生肌,没药的功效主治与乳香相似，常与乳香相须为用，治疗跌打损伤、瘀滞疼痛，痈疽肿痛，疮疡溃后久不收口以及多种瘀滞痛证。二者的区别在于，乳香偏于行气、伸筋，治疗痹证多用；没药偏于散血化瘀，治疗血瘀气滞较重之胃痛多用。,,3～5g，炮制去油，多入丸散用。外用适量。,孕妇及胃弱者慎用。,没药油脂部分具有降脂、防止动脉内膜粥样斑块形成的作用；没药提取物有显著的镇痛作用；没药挥发油和树脂能抗肿瘤；没药水煎剂和挥发油有抗菌和消炎作用；没药挥发油能抑制子宫平滑肌收缩；没药提取物具有保肝作用。,
